Учетные номера автомобильных дорог;Наименование автомобильных дорог;Идентификационные номера автомобильных дорог;Учетные номера автомобильных дорог, которые могут применяться до 31 декабря 2017 г. включительно;Наименования автомобильных дорог, которые могут применяться до 31 декабря 2017 г. включительно
Р-176;"""Вятка"" Чебоксары - Йошкар-Ола - Киров - Сыктывкар ";00 ОП ФЗ Р-176 (СНГ) ;-;"""Вятка"" - от Чебоксар через плотину Чебоксарской ГЭС на Йошкар-Олу, Киров до Сыктывкара; подъезд к городу Киров "
Р-178;Саранск - Сурское - Ульяновск ;00 ОП ФЗ Р-178 ;1P 178;Саранск - Сурское - Ульяновск 
Р-193;Воронеж - Тамбов ;00 ОП ФЗ Р-193 ;lР 193;Воронеж - Тамбов 
Р-208;Тамбов - Пенза ;00 ОП ФЗ Р-208 (СНГ) ;1P 208, 1P 209;Тамбов - Пенза 
Р-215;Астрахань - Кочубей - Кизляр - Махачкала ;00 ОП ФЗ Р-215 (Е119, Е50, АН8, СНГ) ;-;Астрахань - Кочубей - Кизляр - Махачкала 
Р-216;Астрахань - Элиста - Ставрополь ;00 ОП ФЗ Р-216 ;А-154;Астрахань - Элиста - Ставрополь 
Р-217;"""Кавказ"" автомобильная дорога М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой ";00 ОП ФЗ Р-217 (Е50, Е117, Е119, АН8, СНГ) ;М-29;"""Кавказ"" - из Краснодара (от Павловской); через Грозный, Махачкалу до границы с Азербайджанской Республикой (на Баку); подъезды к городам Майкоп, Ставрополь, Черкесск, Владикавказ, Грозный, Махачкала, Магас "
Р-228;Сызрань - Саратов - Волгоград ;00 ОП ФЗ Р-228 (СНГ) ;1P 228;Сызрань - Саратов - Волгоград 
Р-239;Казань - Оренбург - Акбулак - граница с Республикой Казахстан подъезд к аэропорту Казань ;00 ОП ФЗ Р-239;-;"Казань - Оренбург - Акбулак до границы с Республикой Казахстан; подъезд к аэропорту Казань "
Р-240;Уфа - Оренбург ;00 ОП ФЗ Р-240 ;-;Уфа - Оренбург и Западный обход г. Уфы 
Р-241;Казань - Буинск - Ульяновск ;00 ОП ФЗ Р-241 ;1P 241;Казань - Буинск - Ульяновск 
Р-242;Пермь - Екатеринбург;00 ОП ФЗ Р-242 (Е22, СНГ) ;1P 242;Пермь - Екатеринбург 
